"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post_repository.dart", "Dart", 0, 0, 1, 1
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post_validators.dart", "Dart", 9, 0, 2, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\infrastructure\auth\auth_facade.dart", "Dart", 75, 0, 8, 83
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\main.dart", "Dart", 8, 2, 4, 14
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\my_app.dart", "Dart", 14, 0, 5, 19
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\bookmark_button.dart", "Dart", 55, 0, 6, 61
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\comment.dart", "Dart", 96, 0, 3, 99
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\comment_panel.dart", "Dart", 105, 1, 3, 109
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\custom_back_button.dart", "Dart", 17, 0, 3, 20
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\custom_circle_avatar.dart", "Dart", 15, 0, 2, 17
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\dialogs\filter_dialogs.dart", "Dart", 158, 2, 5, 165
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\drawer\home_drawer.dart", "Dart", 231, 0, 3, 234
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\like_button.dart", "Dart", 71, 0, 6, 77
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\modal_bottom_sheet.dart", "Dart", 79, 1, 2, 82
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\post_widget.dart", "Dart", 150, 3, 4, 157
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\post_widget_v2.dart", "Dart", 133, 11, 3, 147
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\sub_button.dart", "Dart", 145, 4, 10, 159
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\ui_text.dart", "Dart", 18, 0, 3, 21
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\custom_widgets\user_view_mini.dart", "Dart", 80, 0, 3, 83
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\auth\auth_page_view.dart", "Dart", 21, 0, 4, 25
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\auth\login_page.dart", "Dart", 264, 1, 3, 268
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\auth\signup_page.dart", "Dart", 292, 1, 3, 296
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\entry_page.dart", "Dart", 17, 0, 3, 20
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\views\account_view.dart", "Dart", 145, 0, 3, 148
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\views\discover_view.dart", "Dart", 72, 0, 8, 80
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\main_pages\views\home_view.dart", "Dart", 308, 0, 7, 315
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\notification_page\notification_view.dart", "Dart", 62, 4, 3, 69
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\profile_edit_page\profile_edit_page.dart", "Dart", 103, 0, 3, 106
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\profile_page\profile_page.dart", "Dart", 157, 0, 3, 160
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\settings_page\settings_page.dart", "Dart", 9, 0, 3, 12
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\subs_tab\subs_tabs.dart", "Dart", 34, 0, 3, 37
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\pages\write\create_post_page.dart", "Dart", 79, 0, 3, 82
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\presentation\theme\light_theme.dart", "Dart", 38, 1, 5, 44
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\static\app_constants.dart", "Dart", 12, 1, 9, 22
"Total", "-", 10348, 318, 1081, 11747
