"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_bloc.dart", "Dart", 11, 1, 3, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_bloc.freezed.dart", "Dart", 266, 25, 49, 340
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_event.dart", "Dart", 5, 0, 1, 6
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_state.dart", "Dart", 5, 0, 2, 7
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_bloc.dart", "Dart", 11, 0, 4, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_bloc.freezed.dart", "Dart", 1315, 40, 137, 1492
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_event.dart", "Dart", 8, 0, 1, 9
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_state.dart", "Dart", 27, 0, 3, 30
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_bloc.dart", "Dart", 72, 0, 7, 79
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_bloc.freezed.dart", "Dart", 732, 34, 105, 871
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_event.dart", "Dart", 9, 0, 2, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_state.dart", "Dart", 18, 0, 4, 22
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_bloc.dart", "Dart", 108, 0, 14, 122
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_bloc.freezed.dart", "Dart", 1368, 43, 157, 1568
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_event.dart", "Dart", 11, 0, 1, 12
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_state.dart", "Dart", 24, 0, 3, 27
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user.dart", "Dart", 32, 0, 3, 35
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user.freezed.dart", "Dart", 953, 22, 74, 1049
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user_failure.dart", "Dart", 7, 0, 3, 10
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user_failure.freezed.dart", "Dart", 237, 19, 43, 299
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\app_user_objects.dart", "Dart", 44, 0, 12, 56
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\app_user\i_app_user_repo.dart", "Dart", 14, 0, 2, 16
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_failure.dart", "Dart", 13, 3, 4, 20
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_failure.freezed.dart", "Dart", 1106, 37, 139, 1282
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_objects.dart", "Dart", 21, 0, 7, 28
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\auth_validators.dart", "Dart", 18, 2, 3, 23
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\auth\i_auth_facade.dart", "Dart", 17, 0, 2, 19
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\error.dart", "Dart", 11, 0, 4, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_failure.dart", "Dart", 18, 7, 7, 32
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_failure.freezed.dart", "Dart", 634, 25, 94, 753
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_object.dart", "Dart", 27, 1, 9, 37
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\core\value_validators.dart", "Dart", 25, 11, 6, 42
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post.dart", "Dart", 6, 0, 5, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post.freezed.dart", "Dart", 91, 16, 27, 134
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\domain\post\post_objects.dart", "Dart", 12, 0, 5, 17
